Gene,logFC,adj.P.Val,Contrast,Gene_limpo,ENTREZID,Regulation
GNB2,-2.1138073783471967,6.549377095375161e-7,MB_vs_Glial,GNB2,2783,Down
ANXA11,-1.928496871157801,7.03271783289173e-7,MB_vs_Glial,ANXA11,311,Down
FGF1,-3.263435365065636,7.048526487246859e-7,MB_vs_Glial,FGF1,2246,Down
FAH,-2.009724561582402,7.403697711430341e-7,MB_vs_Glial,FAH,2184,Down
PGPEP1,-2.154367312231713,7.644137153668153e-7,MB_vs_Glial,PGPEP1,54858,Down
SEPTIN2,-1.5794008137612217,7.961180754673914e-7,MB_vs_Glial,SEPTIN2,4735,Down
TST,-2.022093352830293,8.077820762425068e-7,MB_vs_Glial,TST,7263,Down
RMDN3,-1.483546332470059,8.196398813748861e-7,MB_vs_Glial,RMDN3,55177,Down
SNX17,-1.662346771637882,8.780180006137236e-7,MB_vs_Glial,SNX17,9784,Down
RAB5A,-1.4221746651804175,8.794683229780601e-7,MB_vs_Glial,RAB5A,5868,Down
HSPA2,-3.5903928306884154,9.307468582863207e-7,MB_vs_Glial,HSPA2,3306,Down
RAB5B,-1.2307259468790441,9.51385340721731e-7,MB_vs_Glial,RAB5B,5869,Down
MT3,-4.493184544134163,9.657404565393655e-7,MB_vs_Glial,MT3,4504,Down
MINDY1,-1.1420252958449204,1.0402413955907739e-6,MB_vs_Glial,MINDY1,55793,Down
HNMT,-2.5433798880850667,1.1265908817205783e-6,MB_vs_Glial,HNMT,3176,Down
LAMP1,-1.3052264483707177,1.2166268743765637e-6,MB_vs_Glial,LAMP1,3916,Down
FCSK,-1.8782054356724132,1.2433091635624702e-6,MB_vs_Glial,FCSK,197258,Down
LDHB,-2.094002322431038,1.270870775216334e-6,MB_vs_Glial,LDHB,3945,Down
ZC3HAV1,-1.8524390445029866,1.3249350440326316e-6,MB_vs_Glial,ZC3HAV1,56829,Down
AP2A1,-1.4627775290985774,1.334317850650027e-6,MB_vs_Glial,AP2A1,160,Down
BAG3,-2.996742326227441,1.3500473370371346e-6,MB_vs_Glial,BAG3,9531,Down
PYGB,-2.223153246130103,1.3551371128560298e-6,MB_vs_Glial,PYGB,5834,Down
NECAP2,-1.3596047820938466,1.3629196635713233e-6,MB_vs_Glial,NECAP2,55707,Down
SLC4A4,-3.5030796469439096,1.3633859210511405e-6,MB_vs_Glial,SLC4A4,8671,Down
L3HYPDH,-1.9252923939147593,1.3675482170481065e-6,MB_vs_Glial,L3HYPDH,112849,Down
GLUD1,-2.53071533220389,1.4954294176481875e-6,MB_vs_Glial,GLUD1,2746,Down
LLGL1,-2.3628577239085544,1.4954294176481875e-6,MB_vs_Glial,LLGL1,3996,Down
PLXNB1,-2.0694768505810757,1.4954294176481875e-6,MB_vs_Glial,PLXNB1,5364,Down
CDC42,-1.0802885328314886,1.4978837439410058e-6,MB_vs_Glial,CDC42,998,Down
STAT3,-1.334125384672788,1.5038468153052914e-6,MB_vs_Glial,STAT3,6774,Down
PLCD1,-2.8149174612514294,1.5365828375691385e-6,MB_vs_Glial,PLCD1,5333,Down
RAB1B,-1.3565403085519172,1.5667906845136796e-6,MB_vs_Glial,RAB1B,81876,Down
PNPLA6,-1.1584135862886775,1.5667906845136796e-6,MB_vs_Glial,PNPLA6,10908,Down
PGM1,-2.0306419986937243,1.591051429344624e-6,MB_vs_Glial,PGM1,5236,Down
PTPA,-1.1136085977298116,1.5911460916180311e-6,MB_vs_Glial,PTPA,5524,Down
SCRN1,-2.1355008174750374,1.6253725780546165e-6,MB_vs_Glial,SCRN1,9805,Down
ABLIM1,-2.4682398845350733,1.6253843958732808e-6,MB_vs_Glial,ABLIM1,3983,Down
DMD,-2.2994873111662635,1.6919041751196678e-6,MB_vs_Glial,DMD,1756,Down
SBDS,-1.3693033889440898,1.6958657493766627e-6,MB_vs_Glial,SBDS,51119,Down
ARPC5L,-1.2154083125025963,1.8160753604461224e-6,MB_vs_Glial,ARPC5L,81873,Down
NUMB,-1.1378696848677485,1.8580470788051702e-6,MB_vs_Glial,NUMB,8650,Down
VPS41,-1.0722616642374199,1.8926960674918243e-6,MB_vs_Glial,VPS41,27072,Down
SH3GLB1,-1.3689935462849903,1.8952988341331357e-6,MB_vs_Glial,SH3GLB1,51100,Down
FBXO44,-1.783366797487794,2.156101838853391e-6,MB_vs_Glial,FBXO44,93611,Down
GSTM2,-2.3728246397104265,2.1952813019856264e-6,MB_vs_Glial,GSTM2,2946,Down
NRBP2,-1.7496485165539397,2.259275829190283e-6,MB_vs_Glial,NRBP2,340371,Down
ITGA7,-1.7139032014146949,2.326761053460986e-6,MB_vs_Glial,ITGA7,3679,Down
LMCD1,-2.1017264865042264,2.4779155603007942e-6,MB_vs_Glial,LMCD1,29995,Down
VIM,-2.2634551938411356,2.5062392258676503e-6,MB_vs_Glial,VIM,7431,Down
GSTO1,-1.526933539461421,2.513055028388476e-6,MB_vs_Glial,GSTO1,9446,Down
LAMP2,-1.6039970361238645,2.595163325351357e-6,MB_vs_Glial,LAMP2,3920,Down
ALDH6A1,-2.5303988087193616,2.663104866768201e-6,MB_vs_Glial,ALDH6A1,4329,Down
ABHD14B,-1.3662164922146935,2.7032874121868704e-6,MB_vs_Glial,ABHD14B,84836,Down
ANKFY1,-1.46752822775764,2.745080199875731e-6,MB_vs_Glial,ANKFY1,51479,Down
RNH1,-1.2920760117055892,2.780598981765525e-6,MB_vs_Glial,RNH1,6050,Down
GBP1,-2.3168124228463682,2.870244883418693e-6,MB_vs_Glial,GBP1,2633,Down
AARS1,-1.0499936621148045,2.9135087405740453e-6,MB_vs_Glial,AARS1,16,Down
MTM1,-1.7129754574461238,3.1190229723918705e-6,MB_vs_Glial,MTM1,4534,Down
ACADS,-1.7449787328120188,3.122498670335065e-6,MB_vs_Glial,ACADS,35,Down
NUDT16,-2.23316859267835,3.4211747359338342e-6,MB_vs_Glial,NUDT16,131870,Down
TMX2,-1.2260923839403581,3.612422206494903e-6,MB_vs_Glial,TMX2,51075,Down
DOCK1,-1.3243017429927662,3.6437442447792952e-6,MB_vs_Glial,DOCK1,1793,Down
RETSAT,-1.6645038813687378,3.811389714718868e-6,MB_vs_Glial,RETSAT,54884,Down
CD9,-2.94296692450488,3.9514179292702096e-6,MB_vs_Glial,CD9,928,Down
AGPAT3,-1.5254351906185448,3.97135428834952e-6,MB_vs_Glial,AGPAT3,56894,Down
NPTN,-1.773758008559252,4.0049598998808415e-6,MB_vs_Glial,NPTN,27020,Down
PYGL,-2.84525559788419,4.012808798862841e-6,MB_vs_Glial,PYGL,5836,Down
BDH2,-2.6803705851022777,4.053452123357324e-6,MB_vs_Glial,BDH2,56898,Down
ANXA6,-1.5564814632379473,4.081249910650577e-6,MB_vs_Glial,ANXA6,309,Down
ALDH2,-1.7666817634819019,4.425238101928621e-6,MB_vs_Glial,ALDH2,217,Down
GYS1,-1.7646735461047527,4.433026219423823e-6,MB_vs_Glial,GYS1,2997,Down
PLPBP,-1.3271277306396279,4.537024722734122e-6,MB_vs_Glial,PLPBP,11212,Down
PPP2R2A,-1.2393109709498518,4.580260000387411e-6,MB_vs_Glial,PPP2R2A,5520,Down
VAMP3,-1.8083990367642215,4.767754967328955e-6,MB_vs_Glial,VAMP3,9341,Down
MAP3K3,-1.3588741085139802,4.972274328454139e-6,MB_vs_Glial,MAP3K3,4215,Down
NT5E,-2.263485328191461,5.009324192240846e-6,MB_vs_Glial,NT5E,4907,Down
PLIN3,-1.749474870186173,5.266454427225796e-6,MB_vs_Glial,PLIN3,10226,Down
ABCD3,-1.3905242164238594,5.396235345328987e-6,MB_vs_Glial,ABCD3,5825,Down
MAN2C1,-1.3797044164771464,5.416563100369055e-6,MB_vs_Glial,MAN2C1,4123,Down
SH3BGRL,-1.7346910333353485,5.528056743102272e-6,MB_vs_Glial,SH3BGRL,6451,Down
PC,-1.6373994046323546,5.711908275952288e-6,MB_vs_Glial,PC,5091,Down
NDRG1,-2.577144912806805,5.752569209299594e-6,MB_vs_Glial,NDRG1,10397,Down
SLC25A1,-1.1840193520300843,5.794932831555923e-6,MB_vs_Glial,SLC25A1,6576,Down
CYFIP2,-1.7538939335145507,5.814163441180301e-6,MB_vs_Glial,CYFIP2,26999,Down
SBF2,-1.603561696621611,5.936911899531792e-6,MB_vs_Glial,SBF2,81846,Down
GIPC1,-1.4893200888698068,6.381747003016838e-6,MB_vs_Glial,GIPC1,10755,Down
PSMB10,-1.6995639073250288,6.633400327407065e-6,MB_vs_Glial,PSMB10,5699,Down
PNPO,-1.7411783218492651,6.732236212364738e-6,MB_vs_Glial,PNPO,55163,Down
TLN2,-1.7492944630232863,6.745092595092522e-6,MB_vs_Glial,TLN2,83660,Down
DPYSL2,-2.1757156248315574,7.174427450220953e-6,MB_vs_Glial,DPYSL2,1808,Down
SNX1,-1.2299291845038596,7.541308645278672e-6,MB_vs_Glial,SNX1,6642,Down
MBOAT7,-1.4784766027844682,7.751792985417332e-6,MB_vs_Glial,MBOAT7,79143,Down
PKM,-1.391839830278851,8.01035282159931e-6,MB_vs_Glial,PKM,5315,Down
NRCAM,-3.235626053181999,8.047761698322033e-6,MB_vs_Glial,NRCAM,4897,Down
MAP1A,-2.014894341048464,8.177627118740677e-6,MB_vs_Glial,MAP1A,4130,Down
ADD1,-1.8355036769635866,8.183771362242752e-6,MB_vs_Glial,ADD1,118,Down
LSAMP,-2.3532780049918074,8.283518601502701e-6,MB_vs_Glial,LSAMP,4045,Down
ERLIN2,-1.6121554094976958,8.283518601502701e-6,MB_vs_Glial,ERLIN2,11160,Down
GMPR2,-1.2937982796163148,8.406492915989872e-6,MB_vs_Glial,GMPR2,51292,Down
PDXK,-1.8883265124177129,8.62038010867766e-6,MB_vs_Glial,PDXK,8566,Down
HIBCH,-1.03218767877107,8.824403098775378e-6,MB_vs_Glial,HIBCH,26275,Down
MTCH1,-1.273676969320146,8.839979265976337e-6,MB_vs_Glial,MTCH1,23787,Down
STAT1,-1.5448810112191573,9.009675226008849e-6,MB_vs_Glial,STAT1,6772,Down
CADM4,-2.6979135053236725,9.658136962997782e-6,MB_vs_Glial,CADM4,199731,Down
PEBP1,-1.550859356490541,9.744681592309869e-6,MB_vs_Glial,PEBP1,5037,Down
SCAMP4,-1.6148969272186555,9.944472583934566e-6,MB_vs_Glial,SCAMP4,113178,Down
APOL2,-1.892795458562567,1.0152237042125717e-5,MB_vs_Glial,APOL2,23780,Down
RAP1A,-1.5959354945087867,1.0298413851705244e-5,MB_vs_Glial,RAP1A,5906,Down
DPP8,-1.242826151278873,1.0303873886507157e-5,MB_vs_Glial,DPP8,54878,Down
OPTN,-1.540801740266705,1.0393366602465374e-5,MB_vs_Glial,OPTN,10133,Down
ASCC1,-1.0965142024954133,1.069988176680137e-5,MB_vs_Glial,ASCC1,51008,Down
DTNA,-2.1131005379730396,1.0931780784907574e-5,MB_vs_Glial,DTNA,1837,Down
MCCC1,-1.432872267023086,1.1211648245998987e-5,MB_vs_Glial,MCCC1,56922,Down
CAPN1,-1.1292280606867457,1.1224573555256301e-5,MB_vs_Glial,CAPN1,823,Down
SUCLG1,-1.3875887355939582,1.1829669691613184e-5,MB_vs_Glial,SUCLG1,8802,Down
DAG1,-1.7414377886207824,1.240385625656641e-5,MB_vs_Glial,DAG1,1605,Down
BCAP29,-1.3544709173724527,1.246996956588789e-5,MB_vs_Glial,BCAP29,55973,Down
NLRX1,-1.4252580054103667,1.262430907876786e-5,MB_vs_Glial,NLRX1,79671,Down
TMEM65,-1.9370780906838085,1.3103762886935844e-5,MB_vs_Glial,TMEM65,157378,Down
MSRA,-1.4609665925563071,1.3808295387785816e-5,MB_vs_Glial,MSRA,4482,Down
PFKP,-2.564805363828839,1.384747470620601e-5,MB_vs_Glial,PFKP,5214,Down
WASHC5,-1.1640070536739593,1.3873400135940745e-5,MB_vs_Glial,WASHC5,9897,Down
SSPOP,-1.375320018764878,1.4116478662407326e-5,MB_vs_Glial,SSPOP,23145,Down
ITM2B,-1.477673484342258,1.435805037929849e-5,MB_vs_Glial,ITM2B,9445,Down
EPN2,-1.997926605081357,1.4369263150419916e-5,MB_vs_Glial,EPN2,22905,Down
G6PD,-1.2432966534372376,1.4401528482402191e-5,MB_vs_Glial,G6PD,2539,Down
