category,subcategory,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count,Contrast,Regulation,Database
Cellular Processes,Transport and catabolism,hsa04144,Endocytosis,50/577,157/3259,0.3184713375796178,1.7987835167625208,4.75764555260702,7.2827406878730975e-6,2.0987534527779742e-4,1.2892890212981082e-4,10254/23396/5869/81873/112936/830/10552/9146/8976/51100/9815/5868/30845/27131/8723/79643/22905/9230/11311/10890/7879/64744/29934/9135/9922/9101/29924/6642/8027/1785/23111/11021/8724/26052/10617/274/160/2060/116985/55680/1173/163/1175/55616/11031/30011/116988/28964/156/3105,50,ATRT_vs_Glial,Down,KEGG
Organismal Systems,Nervous system,hsa04728,Dopaminergic synapse,26/577,63/3259,0.4126984126984127,2.3309950207697177,4.947404047180518,8.304015279788479e-6,2.19364403641079e-4,1.3475814269832181e-4,2775/4129/55970/2776/5578/59345/2771/2783/5516/818/5530/817/5567/5520/4128/2782/3709/208/1312/207/5529/5526/2773/2893/2890/23236,26,ATRT_vs_Glial,Down,KEGG
Environmental Information Processing,Signaling molecules and interaction,hsa04517,IgSF CAM signaling,52/577,169/3259,0.3076923076923077,1.737901613118251,4.568741982248374,1.4411186054268419e-5,3.5141122916946833e-4,2.158760663999723e-4,2037/6709/6711/5594/5578/5781/5595/2036/10580/81873/5962/5879/10552/8976/4897/5295/199731/7082/4684/287/4685/347733/4478/7280/208/1499/5290/5803/94030/23136/5906/207/5789/8573/5335/58494/92154/3556/140465/7277/79861/5829/7204/10382/28964/6091/10458/54413/10381/79784/57731/288,52,ATRT_vs_Glial,Down,KEGG
Organismal Systems,Excretory system,hsa04961,Endocrine and other factor-regulated calcium reabsorption,16/577,31/3259,0.5161290322580645,2.915189802649969,4.968896656896967,1.654232514434309e-5,3.605109503618663e-4,2.2146613254838207e-4,2776/5578/493/5567/490/482/477/1785/26052/160/476/481/1173/163/1175/23236,16,ATRT_vs_Glial,Down,KEGG
Organismal Systems,Excretory system,hsa04962,Vasopressin-regulated water reabsorption,15/577,28/3259,0.5357142857142857,3.025810844268383,4.9927921652424185,1.7058877777375377e-5,3.605109503618663e-4,2.2146613254838207e-4,5869/1783/361/5868/5567/84516/9230/1639/51164/396/10671/6810/4905/10540/6844,15,ATRT_vs_Glial,Down,KEGG
Environmental Information Processing,Signal transduction,hsa04150,mTOR signaling pathway,26/577,66/3259,0.3939393939393939,2.225040701643821,4.662910573938103,2.249515835177615e-5,4.4568532484456496e-4,2.737897562551702e-4,5594/5578/5595/7248/51719/5295/7249/2475/10670/5728/208/534/5290/64121/8649/3845/207/6009/529/523/6196/526/51382/8140/51606/55004,26,ATRT_vs_Glial,Down,KEGG
Metabolism,Carbohydrate metabolism,hsa00562,Inositol phosphate metabolism,20/577,45/3259,0.4444444444444444,2.5103023300596954,4.731308567632811,2.5543873669768034e-5,4.7631811490096867e-4,2.926078407992004e-4,23396/8776/5305/5333/3612/4329/8396/5728/8867/5290/3636/3705/5335/113026/5297/79837/4534/5289/8898/23236,20,ATRT_vs_Glial,Down,KEGG
Human Diseases,Cancer: overview,hsa05231,Choline metabolism in cancer,21/577,49/3259,0.42857142857142855,2.4206486754147063,4.646931539889897,3.152219277752125e-5,5.551408394707908e-4,3.41029570984879e-4,5594/57153/23396/5578/5595/23446/7248/5879/5295/7249/2475/208/5290/1608/3845/207/6009/10163/5335/8613/5881,21,ATRT_vs_Glial,Down,KEGG
Environmental Information Processing,Signaling molecules and interaction,hsa04081,Hormone signaling,19/577,43/3259,0.4418604651162791,2.4957075490709766,4.5788556574947,4.5084208460343304e-5,7.521944253646752e-4,4.6208191496750756e-4,2775/55970/2776/59345/2771/2767/10672/2783/5295/5567/3685/2782/5290/8660/6777/2773/2768/23236/183,19,ATRT_vs_Glial,Down,KEGG
Environmental Information Processing,Signaling molecules and interaction,hsa04082,Neuroactive ligand signaling,18/577,40/3259,0.45,2.5416811091854417,4.549860884655639,5.3225555081885254e-5,8.034524267122679e-4,4.935703102831464e-4,2775/55970/2776/5578/59345/2771/2767/2783/5567/2782/6507/6506/2773/2898/2893/64805/2890/23236,18,ATRT_vs_Glial,Down,KEGG
Organismal Systems,Environmental adaptation,hsa04713,Circadian entrainment,18/577,40/3259,0.45,2.5416811091854417,4.549860884655639,5.3225555081885254e-5,8.034524267122679e-4,4.935703102831464e-4,2775/55970/2776/5594/5578/5595/59345/2771/2783/818/817/5567/2782/2983/2773/2893/2890/23236,18,ATRT_vs_Glial,Down,KEGG
