#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
MAPK1	PRKCA	9606.ENSP00000215832	9606.ENSP00000408695	0	0	0	0.594	0.127	0.102	0.900	0	0.914
MAPK1	STAT1	9606.ENSP00000215832	9606.ENSP00000354394	0	0	0	0	0.090	0.091	0.900	0	0.910
MAPK1	PPP2CB	9606.ENSP00000215832	9606.ENSP00000221138	0	0	0	0	0.129	0.129	0.900	0	0.917
MAPK1	PTPN11	9606.ENSP00000215832	9606.ENSP00000489597	0	0	0	0	0.079	0.145	0.900	0	0.914
MAPK1	MAPK3	9606.ENSP00000215832	9606.ENSP00000263025	0	0	0	0.983	0.118	0.874	0.900	0	0.987
MAPK1	PEA15	9606.ENSP00000215832	9606.ENSP00000357055	0	0	0	0	0.062	0.971	0.700	0	0.991
MAPK3	PPP2CB	9606.ENSP00000263025	9606.ENSP00000221138	0	0	0	0	0.093	0.129	0.900	0	0.914
MAPK3	TSC1	9606.ENSP00000263025	9606.ENSP00000298552	0	0	0	0	0.068	0.113	0.900	0	0.910
MAPK3	PRKCA	9606.ENSP00000263025	9606.ENSP00000408695	0	0	0	0.589	0.062	0.102	0.900	0	0.908
MAPK3	STAT1	9606.ENSP00000263025	9606.ENSP00000354394	0	0	0	0	0.062	0.091	0.900	0	0.907
MAPK3	PTPN11	9606.ENSP00000263025	9606.ENSP00000489597	0	0	0	0	0.059	0.436	0.900	0	0.942
MBOAT2	PLPP4	9606.ENSP00000302177	9606.ENSP00000381302	0	0	0	0	0.060	0	0.910	0	0.912
ME1	ME3	9606.ENSP00000358719	9606.ENSP00000440246	0	0	0	0.976	0	0	0.900	0	0.900
ME1	PC	9606.ENSP00000358719	9606.ENSP00000498994	0	0	0	0	0.092	0.447	0.965	0	0.981
ME3	PC	9606.ENSP00000440246	9606.ENSP00000498994	0	0	0	0	0.087	0.083	0.965	0	0.968
MPI	PFKM	9606.ENSP00000318318	9606.ENSP00000496597	0	0	0	0	0.074	0	0.900	0	0.903
MRAS	PIK3CA	9606.ENSP00000289104	9606.ENSP00000263967	0	0	0	0	0.061	0.954	0.900	0	0.995
MRAS	PRKCA	9606.ENSP00000289104	9606.ENSP00000408695	0	0	0	0	0.055	0	0.900	0	0.901
MRAS	PIK3R1	9606.ENSP00000289104	9606.ENSP00000428056	0	0	0	0	0.042	0.054	0.900	0	0.901
MRAS	NF1	9606.ENSP00000289104	9606.ENSP00000351015	0	0	0	0	0.051	0.320	0.900	0	0.929
